config,seed,accuracy,auc,brier,log_loss
F1×H5,44,0.7177903124720207,0.7737454041069138,0.1818467378616333,0.5366027214542849
F1×H5,45,0.7196705166084699,0.7737494413163419,0.18185460567474365,0.5366144329921133
F1×H5,46,0.7187751813053989,0.773618754062877,0.18183322250843048,0.5365938181627812
F1×H5,47,0.7184170471841704,0.7736130114805011,0.18187063932418823,0.5367347583634821
F1×H5,48,0.7194019160175485,0.7737903354635646,0.18182878196239471,0.5365041125702117
F1×H5,49,0.7187751813053989,0.7735058514130129,0.1818866729736328,0.5368239986813156
F1×H5,50,0.7193123824872415,0.7737577767616693,0.18178308010101318,0.5364941151189717
F1×H5,51,0.7184170471841704,0.7736619104395206,0.18189647793769836,0.5367286218552577
F1×H5,52,0.7185961142447846,0.7740082055585553,0.18174374103546143,0.536415553869246
F1×H5,53,0.719849583669084,0.7735297788395793,0.18194355070590973,0.5369240079480929
F1×H5,54,0.7192228489569343,0.773829315416662,0.18178445100784302,0.5365000645721872
F1×H5,55,0.7185961142447846,0.7735504869396623,0.18196973204612732,0.5369143999725057
F1×H5,56,0.7189542483660131,0.7735775466838883,0.18189024925231934,0.5367623208889352
F1×H5,57,0.7207449189721551,0.7739510929665617,0.18181130290031433,0.5363919465151337
F1×H5,58,0.718864714835706,0.7737116794867788,0.18182049691677094,0.5367591724086005
F1×H5,59,0.7185961142447846,0.7733462598282557,0.1819947361946106,0.5368745956350829
F1×H5,60,0.7181484465932492,0.7739906297761318,0.18188518285751343,0.536553735836266
F1×H5,61,0.7190437818963201,0.7739183428452541,0.18186789751052856,0.5366674584008326
F1×H5,62,0.7187751813053989,0.7738444201484871,0.18184800446033478,0.536600411106384
F1×H5,63,0.7181484465932492,0.7735160662489362,0.1819078028202057,0.5368237153643728
F1×H5,64,0.7191333154266273,0.7740610373164141,0.18174861371517181,0.5363427328037691
F1×H5,65,0.717969379532635,0.7738314732354941,0.18186606466770172,0.5365612980730828
F1×H5,66,0.7183275136538634,0.7740244762086204,0.18183358013629913,0.5365527043164443
F1×H5,67,0.718864714835706,0.7734358615150854,0.1819756180047989,0.5369397003575823
F1×H5,68,0.7187751813053989,0.7737950339400539,0.18185968697071075,0.5366670581675834
F1×H5,69,0.7174321783507924,0.7735170755512931,0.18189582228660583,0.5367664675235361
F1×H5,70,0.7207449189721551,0.7735182936748274,0.18186922371387482,0.5367594127419084
F1×H5,71,0.7187751813053989,0.7734665756299144,0.18192489445209503,0.5368023351399086
F1×H5,72,0.7182379801235562,0.7733124656010616,0.18204739689826965,0.537046393991192
F1×H5,73,0.7178798460023279,0.7737009425979122,0.18197867274284363,0.5368153843839607
F1×H5,74,0.7181484465932492,0.7735617806850016,0.18194136023521423,0.5368427936682671
F1×H5,75,0.717969379532635,0.7734488954369022,0.18192914128303528,0.5368170344075308
F1×H5,76,0.7185065807144776,0.7737326486133334,0.18185833096504211,0.5366603625499787
F1×H5,77,0.7189542483660131,0.773492730482372,0.18192118406295776,0.536834375588413
F1×H5,78,0.718864714835706,0.773900662652242,0.18177005648612976,0.5364483854312325
F1×H5,79,0.7190437818963201,0.7737679393922984,0.18189245462417603,0.5366902131284628
F1×H5,80,0.7183275136538634,0.7737323701850971,0.18191246688365936,0.5367493305243786
F1×H5,81,0.7172531112901782,0.7731076816331821,0.18204306066036224,0.5371408417177684
F1×H5,82,0.7185961142447846,0.7735479114784755,0.18198060989379883,0.5368739409607126
F1×H5,83,0.7181484465932492,0.7739294625729456,0.18182925879955292,0.5364783225377495
F1×H5,84,0.7173426448204853,0.7736363994523595,0.1818939596414566,0.5367286577559017
